,Name,Location,Type,Website,Specialities,Size,Founded,Status,Followers on Stack Overflow
0,Equinix, No office location, Internet Infrastructure,http://eqix.it/4183V07,"go, kubernetes, ruby","
10k+ employees
",1998,"
Public
","
75
"
1,Discover Financial Svcs, Farnborough; London," Banking, Financial Services",https://www.discover.com/,"javascript, tableau-api, powerbi","
10k+ employees
",1986,"
Public
","
85
"
2,Discover Financial Services, Chicago; Riverwoods," Banking, Financial Services, Financial Technology",https://jobs.discover.com/,"tableau-api, powerbi, qlikview","
10k+ employees
",1985,"
Public
","
109
"
3,Zoi TechCon GmbH, Quận 1; Lisboa; Figueres," Cloud Computing, Cloud Services, IT Consulting",https://www.zoi.tech/,"aws, azure, google-cloud-platform","
201-500 employees
",2017,"
Private
","
2
"
4,Magnolia International Ltd., Münchenstein; Singapore; New York," Agile Software Development, CMS, Enterprise Software",http://www.magnolia-cms.com,"java, maven, git","
201-500 employees
",1997,"
Private
","
77
"
5,Jumbo Supermarkets, Veghel," Data & Analytics, Software Development, Test Automation",https://nl.jobs.jumbo.com/en/werkplek/jumbo-tech-campus/,"java, vue.js, node.js","
10k+ employees
",1922,"
Private
","
128
"
6,WiseTech Global, Alexandria; Bengaluru; Nan Jing Shi," Enterprise Software, Logistics and Supply Chain, Software Development",https://wisetechglobal.com,"c#, java, c++","
1k-5k employees
",1994,"
Public
","
44
"
7,DISH, Englewood; Littleton; Denver," Cloud Services, Information Technology, Wireless Communications",https://careers.dish.com,"amazon-web-services, azure, devops","
10k+ employees
",1980,"
Public
","
19
"
8,Deloitte US, Baton Rouge; New Orleans; Louisville," Consulting, Software Development / Engineering",https://www2.deloitte.com/us/en/pages/careers/articles/technology-jobs-deloitte.html?id=us:2el:3dp:stackofl22:awa:career:071822,".net, azure, boomi","
10k+ employees
",1845,"
Private
","
145
"
9,Pluralsight, Draper; Dublin; Bengaluru, SaaS,https://www.pluralsight.com/careers,".net, c#, c++","
1k-5k employees
",2004,"
VC Funded
","
199
"
10,Sartorius, Bangalore; Berlin; Malmö," Biotechnology, Life Sciences",https://www.sartorius.com/,"amazon-web-services, apache-kafka, azure","
10k+ employees
",1870,"
Private
","
94
"
11,Bosch USA, Charleston; Irvine; Oakbrook Terrace," Agile Software Development, Automotive, Manufacturing",https://www.bosch.us/careers/ ,"c, c++, c#","
10k+ employees
",1886,"
Private
","
108
"
12,CBRE, New York; Richardson; Dallas," Commercial Real Estate, Information Technology, Software Development",https://bit.ly/3iLDKw2,"html, css, javascript","
10k+ employees
",1906,"
Public
","
137
"
13,Delivery Hero SE, Berlin," eCommerce, Food & Beverage, Web Technology",http://www.deliveryhero.com/,"python, html, css","
10k+ employees
",2011,"
Public
","
514
"
14,Schwarz IT KG , Sofia; Berlin; Bucharest," Retail, Retail Apps, Retail Industry",https://it.schwarz/,"abap, sap, android","
1k-5k employees
",2019,"
Private
","
76
"
15,Just Eat Takeaway.com, Enschede; Berlin; Tel Aviv-Yafo," Food & Beverage, Marketplace",https://careers.justeattakeaway.com,"azure, c#, .net","
10k+ employees
",2000,"
Public
","
184
"
16,adjoe , Hamburg," Ad Tech, Advertising Technology, Mobile Application",http://www.adjoe.io,"ios, android, mobile","
51-200 employees
",2018,"
Private
","
188
"
17,SD Worx, Zagreb; Mamer; Mechelen," Cloud-Based Solutions, Financial Services, Product Development",https://www.sdworx.com/,"azure, azure-devops, amazon-web-services","
5k-10k employees
",1945,"
VC Funded
","
19
"
18,IT Sonix Custom Development GmbH, Leipzig," Agile Software Development, Software Consulting, Software Development / Engineering",https://itsonix.eu/,"java, spring, boot","
51-200 employees
",2011,"
Private
","
65
"
19,Intuit, Plano; Washington; Tucson," Computer Software, Financial Technology",https://www.intuit.com/?cid=cpg_so_click_us_career-profile_aw_profile|alltechaudience_link|none_intuit-talent,"java, kotlin, scala","
10k+ employees
",1983,"
Public
","
353
"
20,Smals, Sint-Gillis; Brussel; Gent," Cloud Computing, Information Technology, Software Development",http://www.smals.be/jobs,"java, javascript, .net","
1k-5k employees
",1939,"
Private
","
79
"
21,Outfit7, Xu Hui Qu; Ljubljana; Chongwenmen Outer Residential District," Digital Video Distribution, Gaming, Mobile Game",https://www.outfit7.com/?utm_source=paid&utm_medium=stackoverflow&utm_campaign=O7officialwebsite ,"unity-game-engine, c#, c++","
201-500 employees
",2009,"
Private
","
18
"
22,Novo Nordisk A/S, Denmark; Bengaluru; Plainsboro Township," Manufacturing, Pharmaceuticals",https://talent.stackoverflow.com/company/novo-nordisk-a-s,"javascript, html, css","
10k+ employees
",1923,"
Public
","
232
"
23,Audible, Newark; Cambridge; Seattle," Agile Software Development, Content Marketing, Web Technology",http://audiblecareers.com,"java, git, jquery","
1k-5k employees
",1995,"
Public
","
312
"
24,intive, Córdoba; București; Buenos Aires," Computer Software, Design, IT Consulting",https://intive.com/,"javascript, python, java","
1k-5k employees
",2016,"
Private
","
152
"
25,Deloitte US-India offices, Mumbai; Gurugram; Bengaluru," Information Technology, Software Development / Engineering, Technology Consulting",https://www2.deloitte.com/ui/en.html,"cloud, aws, azure","
10k+ employees
",N/A,"
Private
","
214
"
26,MaibornWolff GmbH, Tunis; München; Frankfurt am Main," Agile Software Development, Software Development / Engineering, Test Automation",https://www.maibornwolff.de/en/career/?mtm_campaign=stackoverflow-profile,"mobile, testing, backend","
501-1k employees
",1989,"
Private
","
109
"
27,KVK, Utrecht, Government,https://werkenbij.kvk.nl/vitale-it,".net, react, java","
1k-5k employees
",1803,"
Public
","
3
"
28,itm8, Dumaguete; Bromma; København, Information Technology,https://www.itm8.com/,"c#, java, python","
1k-5k employees
",2003,"
Private
","
59
"
29,Westpac, Sydney; Kogarah; Melbourne," Banking, Financial Technology, Software Development / Engineering",https://www.westpac.com.au/engineers,"corejava, java, spring","
10k+ employees
",1817,"
Public
","
68
"
30,GFT, Kraków; Łódź; Warsaw," Banking, Cloud-Based Solutions, Financial Technology",https://www.gft.com/pl/pl/about-us/career?utm_source=stackoverflow&utm_medium=profile,"java, angular, .net","
1k-5k employees
",1987,"
Private
","
25
"
31,ZEISS Group, Oberkochen; Eggenstein-Leopoldshafen; Dublin," Machine Learning, Medical Devices, Virtual Reality",http://www.zeiss.de/karriere,"angular, swift, c#","
10k+ employees
",1846,"
Private
","
148
"
32,MetLife, Greenville; Bridgewater; Hanover," Financial Services, Insurance",https://jobs.metlife.com,"azure, java, python","
10k+ employees
",1868,"
Public
","
46
"
33,Thermo Fisher Scientific Careers, Hyderabad; Budapest; Austin," Biotechnology, Pharmaceuticals, Science",https://jobs.thermofisher.com/global/en/c/it-jobs?rx_source=stackoverflow&rx_vp=jobslots&rx_c=&rx_campaign=&rx_ad=&rx_medium=post&rx_paid=1&rx_ch=jobpost&utm_source=stackoverflow-jobslots&utm_medium=jobpost&utm_campaign=profile&=&=&=,"javascript, sql, python","
10k+ employees
",1956,"
Public
","
274
"
34,ABBYY , Nicosia; Barcelona; Vilnius," Artificial Intelligence, Automation, Information Technology",https://www.abbyy.com/,"c++, c#, .net","
501-1k employees
",1989,"
Private
","
85
"
35,Nord Security, Poland; Kaunas; Amsterdam," Cybersecurity, Network Security, Software Development",https://nordsecurity.com/careers,"php, go, mysql","
1k-5k employees
",2012,"
Private
","
260
"
