,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link
0,Nord Security,Vilnius; Kaunas; Warsaw,"Cybersecurity, Network Security, Software Development",https://nordsecurity.com/careers,"php, go, mysql, apache-kafka, symfony, echo, cassandra, docker, slim, kubernetes, rabbitmq, redis, javascript, typescript, redux, reactjs, node.js, next.js, c++, rust, swift, cocoapods, kotlin, dagger, kotlin-coroutines, c#, .net, python, minio, apache-spark, jupyter",1000.0,5000.0,2012.0,Private,262.0,https://stackoverflow.com/jobs/companies/nord-security?c=OOsuHoa4giVWlhTi
1,Audible,Tokyo; Berlin; London,"Agile Software Development, Content Marketing, Web Technology",http://audiblecareers.com,"java, git, jquery, angular.js, requires.js, html5, css, css3, javascript, perl, python, ant, maven, jrebel, http, live, streaming, hds, smoothstreaming, amazon, web, services, ruby, cucumber, dojo, mason, jsp, junit, testng, selenium, sql, hadoop, ios, objective-c, android, underscore, js, sass, amd, node, ipad, spring, r, rstudio",1000.0,5000.0,1995.0,Public,314.0,https://stackoverflow.com/jobs/companies/audible?c=c8xStPAHS03ypnb2
2,Paylocity,Praha 8; Meridian; Lake Mary,"Human Resources, Payroll, Software Development / Engineering",https://www.paylocity.com/,"aws, api-gateway, .net, c#, sql-server, react-native, agile, kubernetes, sql, ruby-on-rails, css, python, amazon-ec2, aws-lambda, octopus-deploy, teamcity, infrastructure-as-code, cisco, f5, imperva, devops, swift, kotlin, cypress, postman, data-modeling, supervised-learning, nlp, machine-learning, cicd, docker, pyspark",5000.0,10000.0,1997.0,Public,2.0,https://stackoverflow.com/jobs/companies/paylocity?c=OSWvwo4enXZmLol2
3,DISH,Littleton; Denver; Englewood,"Cloud Services, Information Technology, Wireless Communications",https://careers.dish.com,"amazon-web-services, azure, devops, f5, linux, sql, adobe-commerce, adobe-experience-manager, alm, ansible, apache, apache-kafka, api, apigee, bdd, c#, c++, cisco, aws-cloudformation, cloudnit, confluent-platform, docker, amazon-elastic-beanstalk, elasticsearch, esxi, fabric, gitlab, go, google-cloud-platform, influxdb, jakarta-ee, java, json, kanban, kubernetes, ian, unix, maven, minitest, mulesoft, mysql, newrelic, node.js, oauth, octane, okta, openai-api, perl, php, pyspark, python, rackspace, rdp, ready-api, redhat, redis, rest, rspec, ruby, saml, scala, scrum, selenium, shell, software-design, apache-spark, spring-boot, sql-server, ssh, swagger, tdd, terraform, hp-uft, vcenter, vmware, wan, xml",10000.0,,1980.0,Public,21.0,https://stackoverflow.com/jobs/companies/dish?c=OSgcwIiB6CUNK7bq
4,Just Eat Takeaway.com,Tel Aviv-Yafo; Sofia; Berlin,"Food & Beverage, Marketplace",https://careers.justeattakeaway.com,"azure, c#, .net, javascript, react, angular, kubernetes, kotlin, swift, java, php, mongodb, sql, docker, servicebus",10000.0,,2000.0,Public,186.0,https://stackoverflow.com/jobs/companies/just-eat-takeawaycom?c=OaYLIyqpEuOGIQMg
5,Deutsche Börse Group,China; Singapore; Czechia,"Customer Data Platform, Financial Technology, High Frequency Trading",https://deutsche-boerse.com/dbg-en/,"c++, java, python, google-cloud-platform, ansible, terraform, elk, kubernetes, openshift-origin",10000.0,,,Private,13.0,https://stackoverflow.com/jobs/companies/deutsche-b%C3%B6rse-group?c=ORLYXwb9369fS3MQ
6,Bosch USA,Sunnyvale; Irvine; Fairport,"Agile Software Development, Automotive, Manufacturing",https://www.bosch.us/careers/ ,"c, c++, c#, objective, matlab, simulink, python, autosar, canalyzer, canape, canoe, capl, java, linux, windows, bash, powershell, cmake, git, subversion, gdb, lidar, ethernet, embedded, software, development, control, systems, agile",10000.0,,1886.0,Private,111.0,https://stackoverflow.com/jobs/companies/bosch-usa?c=OQNxP7WeW2Ca7WZG
7,GFT,Warsaw; Kraków; Łódź,"Banking, Cloud-Based Solutions, Financial Technology",https://www.gft.com/pl/pl/about-us/career?utm_source=stackoverflow&utm_medium=profile,"java, angular, .net, react, sql, python, rest, spring, node, aws, hibernate, android, ios, mongodb, azure, git, javascript, typescript, gcp, guidewire, dlt, kubernetes, scala, kotlin, spark, terraform, kafka, ansible, helm, docker, flutter, istio, bigquery, postgres, thoughtmachine",1000.0,5000.0,1987.0,Private,26.0,https://stackoverflow.com/jobs/companies/gft?c=ORY4nZPkgUsh1hxS
8,ING Deutschland,Berlin; Nürnberg; Hannover,"Banking, Finance, Financial Technology",https://www.ing.jobs/deutschland/alle-jobs.htm,"java, java-ee, ios, android, git, maven, spring, python, oracle, sdk, scala, r, hadoop, microservices, c#, bigdata, angular, fitnesse, sql, wicket, hibernate, jenkins, cloud, swift, spring-boot, scrum, kanban, openshift, kubernetes, azure, elasticsearch, elastic-stack, prometheus, ansible, docker, unix, linux, apache-kafka, tomcat, jboss, javascript, html, elk, mysql, continuous-integration, continuous-delivery, etl, business-intelligence, automated-tests, plsql, eclipse, database, apache-spark, pandas, apache-flink, numpy, cobol, jakarta-ee",5000.0,10000.0,1965.0,Public,150.0,https://stackoverflow.com/jobs/companies/ing-deutschland?c=ia5AK3jwGDN3oyCQ
9,Volvo Group,Bengaluru; Wrocław; Gothenburg,Transportation,https://www.volvogroup.com/,"reactjs, redux, graphql, styled-components, expressjs, microservices, java, .net, postgresql, python, docker, amazon-web-services, git, mongodb, devsecops, nodejs, oracle, gerrit, amq, influx, elk, rpa, s4hana, sap-erp, sap-fiori, powerbi, azure, c#, rest, azure-devops, entity-framework, r, tensorflow",10000.0,,1927.0,Private,171.0,https://stackoverflow.com/jobs/companies/volvo-group?c=ONo0QL64xlfl1zdC
