,Unnamed: 0,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link,num_Type,num_Specialities,num_Location
0,0,Nord Security,Warsaw;Vilnius;Kaunas,"Network Security,Cybersecurity,Software Development",https://nordsecurity.com/careers,"swift,jupyter,.net,next.js,reactjs,php,symfony,redis,rust,minio,redux,typescript,c++,docker,javascript,kotlin-coroutines,cassandra,rabbitmq,mysql,kotlin,kubernetes,node.js,apache-spark,dagger,apache-kafka,slim,c#,echo,cocoapods,python,go",1000.0,5000.0,2012.0,Private,262.0,https://stackoverflow.com/jobs/companies/nord-security?c=OOsuHoa4giVWlhTi,3,31,3
1,1,Audible,Tokyo;Berlin;London,"Web Technology,Content Marketing,Agile Software Development",http://audiblecareers.com,"mason,http,perl,smoothstreaming,node,streaming,css3,services,hds,java,maven,hadoop,android,sql,objective-c,javascript,js,web,spring,amd,r,selenium,requires.js,dojo,testng,underscore,jquery,junit,amazon,live,ipad,git,ant,cucumber,css,jsp,html5,ruby,sass,ios,rstudio,python,jrebel,angular.js",1000.0,5000.0,1995.0,Public,314.0,https://stackoverflow.com/jobs/companies/audible?c=c8xStPAHS03ypnb2,3,44,3
2,2,Paylocity,Lake Mary;Praha 8;Meridian,"Payroll,Software Development / Engineering,Human Resources",https://www.paylocity.com/,"infrastructure-as-code,swift,ruby-on-rails,nlp,.net,postman,data-modeling,cisco,sql-server,machine-learning,cicd,cypress,api-gateway,f5,sql,supervised-learning,docker,aws,kotlin,kubernetes,devops,amazon-ec2,agile,octopus-deploy,css,c#,aws-lambda,imperva,teamcity,react-native,pyspark,python",5000.0,10000.0,1997.0,Public,2.0,https://stackoverflow.com/jobs/companies/paylocity?c=OSWvwo4enXZmLol2,3,32,3
3,3,DISH,Englewood;Littleton;Denver,"Wireless Communications,Information Technology,Cloud Services",https://careers.dish.com,"swagger,saml,azure,software-design,alm,ansible,f5,google-cloud-platform,sql,hp-uft,octane,node.js,apache-spark,rest,c#,linux,adobe-commerce,vmware,oauth,influxdb,go,esxi,gitlab,perl,xml,bdd,unix,rspec,sql-server,redis,apache,docker,vcenter,apigee,mysql,selenium,adobe-experience-manager,wan,devops,apache-kafka,ruby,api,kanban,newrelic,amazon-web-services,redhat,cloudnit,shell,maven,ready-api,aws-cloudformation,ian,confluent-platform,spring-boot,scala,rackspace,pyspark,fabric,python,elasticsearch,ssh,terraform,java,cisco,php,jakarta-ee,c++,rdp,scrum,kubernetes,mulesoft,tdd,minitest,openai-api,json,amazon-elastic-beanstalk,okta",10000.0,,1980.0,Public,21.0,https://stackoverflow.com/jobs/companies/dish?c=OSgcwIiB6CUNK7bq,3,77,3
4,4,Just Eat Takeaway.com,Tel Aviv-Yafo;Berlin;Sofia,"Food & Beverage,Marketplace",https://careers.justeattakeaway.com,"c#,swift,php,angular,sql,azure,javascript,docker,.net,servicebus,kotlin,react,java,kubernetes,mongodb",10000.0,,2000.0,Public,186.0,https://stackoverflow.com/jobs/companies/just-eat-takeawaycom?c=OaYLIyqpEuOGIQMg,2,15,3
5,5,Deutsche Börse Group,Singapore;China;Czechia,"High Frequency Trading,Financial Technology,Customer Data Platform",https://deutsche-boerse.com/dbg-en/,"ansible,google-cloud-platform,c++,openshift-origin,elk,terraform,java,python,kubernetes",10000.0,,,Private,13.0,https://stackoverflow.com/jobs/companies/deutsche-b%C3%B6rse-group?c=ORLYXwb9369fS3MQ,3,9,3
6,6,Bosch USA,Sunnyvale;Fairport;Irvine,"Manufacturing,Agile Software Development,Automotive",https://www.bosch.us/careers/ ,"autosar,development,powershell,gdb,bash,java,simulink,matlab,windows,objective,canoe,c++,systems,canalyzer,cmake,embedded,lidar,agile,git,c,subversion,c#,canape,control,linux,ethernet,capl,software,python",10000.0,,1886.0,Private,111.0,https://stackoverflow.com/jobs/companies/bosch-usa?c=OQNxP7WeW2Ca7WZG,3,29,3
7,7,GFT,Warsaw;Łódź;Kraków,"Banking,Cloud-Based Solutions,Financial Technology",https://www.gft.com/pl/pl/about-us/career?utm_source=stackoverflow&utm_medium=profile,"angular,helm,flutter,hibernate,guidewire,azure,.net,postgres,node,terraform,react,java,ansible,android,sql,typescript,javascript,docker,spring,aws,kotlin,kubernetes,gcp,rest,bigquery,git,thoughtmachine,spark,mongodb,ios,scala,kafka,dlt,istio,python",1000.0,5000.0,1987.0,Private,26.0,https://stackoverflow.com/jobs/companies/gft?c=ORY4nZPkgUsh1hxS,3,35,3
8,8,ING Deutschland,Hannover;Berlin;Nürnberg,"Banking,Finance,Financial Technology",https://www.ing.jobs/deutschland/alle-jobs.htm,"swift,elasticsearch,angular,hibernate,azure,numpy,apache-flink,sdk,unix,plsql,java,maven,hadoop,jboss,ansible,prometheus,jakarta-ee,android,sql,cloud,wicket,docker,javascript,oracle,spring,cobol,mysql,r,scrum,jenkins,kubernetes,bigdata,apache-spark,continuous-delivery,elk,spring-boot,apache-kafka,eclipse,fitnesse,git,continuous-integration,openshift,elastic-stack,c#,database,java-ee,ios,scala,tomcat,automated-tests,business-intelligence,kanban,microservices,pandas,linux,html,etl,python",5000.0,10000.0,1965.0,Public,150.0,https://stackoverflow.com/jobs/companies/ing-deutschland?c=ia5AK3jwGDN3oyCQ,3,58,3
9,9,Volvo Group,Wrocław;Gothenburg;Bengaluru,Transportation,https://www.volvogroup.com/,"nodejs,azure,rpa,.net,sap-erp,reactjs,gerrit,java,expressjs,postgresql,tensorflow,redux,docker,oracle,r,azure-devops,powerbi,elk,s4hana,rest,git,entity-framework,amq,mongodb,c#,sap-fiori,influx,styled-components,microservices,devsecops,amazon-web-services,python,graphql",10000.0,,1927.0,Private,171.0,https://stackoverflow.com/jobs/companies/volvo-group?c=ONo0QL64xlfl1zdC,1,33,3
10,10,Westpac,Melbourne;Surfers Paradise;Sydney,"Banking,Financial Technology,Software Development / Engineering",https://www.westpac.com.au/engineers,"swagger,hibernate,accessibility,reactjs,terraform,java,corejava,redux,javascript,hashicorp-vault,spring,reduct-saga,jenkins,node.js,devops,spring-boot,redux-saga,restful,api,microservices",10000.0,,1817.0,Public,72.0,https://stackoverflow.com/jobs/companies/westpac?c=OPD1gg39BaM3eCru&pg=2,3,20,3
11,11,Intuit,Paris;Petah Tikva;Bengaluru,"Computer Software,Financial Technology",https://www.intuit.com/?cid=cpg_so_click_us_career-profile_aw_profile|alltechaudience_link|none_intuit-talent,"swift,springboot,graphdb,iks,react,java,redis,dynamodb,c++,javascript,js,docker,spring,aws,kotlin,rds,jenkins,kubernetes,play,k8s,argo,aurora,nosql,native,spark,mongodb,obj-c,c#,scala,tomcat,kafka,graphql",10000.0,,1983.0,Public,358.0,https://stackoverflow.com/jobs/companies/intuit?c=OMBF8QvlE61gqGbu&pg=2,2,32,3
12,12,Roblox,San Mateo,"Software Development,Communications,Virtual Worlds",https://corp.roblox.com/,"elasticsearch,lua,.net,reactjs,terraform,kubeflow,machine-learning,tensorflow,redis,pytorch,rust,android,computer-vision,c++,nomad,trino,node.js,consul,haproxy,approximate-nn-searching,apache-spark,machine-translation,apache-kafka,cockroachdb,c#,conversational-ai,ruby,ios,artificial-intelligence,hive,python",1000.0,5000.0,,Public,65.0,https://stackoverflow.com/jobs/companies/roblox?c=ORbIG5eBnFecqovK&pg=2,3,31,1
13,13,CBRE,Dallas;Boston;New York,"Commercial Real Estate,Software Development,Information Technology",https://bit.ly/3iLDKw2,"sql-db,elastic,angular,azure-cloud,javascript,html,css,cloudfront,sitecore,react,java,coveo,solr",10000.0,,1906.0,Public,142.0,https://stackoverflow.com/jobs/companies/cbre?c=OOamyFGNqAtpCsfK&pg=2,3,13,3
14,14,Optum ,Letterkenny;India;Bogotá,Health Care,https://www.optum.com/,"golang,scala,devops,agilescrum,sql,aiml,javascript,apis,cloudawsazure,docker,spring-boot,kafka,java,jenkins,kubernetes,cicd",10000.0,,2011.0,Public,46.0,https://stackoverflow.com/jobs/companies/optum?c=OPP6GJHkOZ54nQcw&pg=2,1,16,3
